foretag_id,server_ip_adress,server_fqdn,catalog,schema
8810,10.82.10.215,ftvddbs08.ftv.sll.se,ftvudp,ftv_400
1210,10.64.145.52,ksp.rd.sll.se,Utdata,udp_100
8070,192.44.250.170,aisp1.rd.sll.se,raindance_udp,udp_100
2710,10.64.103.19,nksp.rd.sll.se,raindance_udp,udp_100
8510,10.64.103.18,dsp.rd.sll.se,raindance_udp,udp_150
8570,10.64.103.20,sosp.rd.sll.se,raindance_udp,udp_220
8530,10.64.145.38,step.rd.sll.se,steudp,udp_600
8580,10.64.145.35,stsp.rd.sll.se,stsudp,udp_858
1100,10.82.135.229,rnddbp01.orion.sll.se,udpb4,udpb4_100
8090,192.44.250.191,mcp1.rd.sll.se,MediCarrierUDP,utdata100
1500,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata150
1550,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata155
1560,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata156
2610,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata261
2870,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata287
2880,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata288
2890,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata289
2900,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata290
2920,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata292
2930,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata293
2940,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata294
2950,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata295
2985,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata298
2990,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata299
3610,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata361
8010,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata801
8020,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata802
8050,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata805
8410,192.44.250.2,lsfp3.rd.sll.se,utdata,utdata840